A B C
87 50 8
73 74 98
62 30 43
28 84 12
50 42 74
49 51 82
66 59 77
78 66 32
46 12 63
24 14 76
78 28 12
24 33 60
45 68 71
78 70 43
16 30 89
44 72 21
87 86 61
39 61 33
15 12 62
71 79 3
64 89 9
29 64 14
70 99 85
46 85 84
16 96 41
42 29 41
86 82 88
84 96 40
32 55 89
26 77 72
48 12 86
55 20 28
47 92 58
33 25 31
39 64 100
92 48 57
3 90 62
86 80 11
13 43 10
26 100 95
25 61 42
93 4 83
2 26 1
66 25 10
5 75 34
55 99 83
54 5 22
40 27 26
36 77 38
92 5 37
60 78 41
66 48 12
18 39 31
70 72 66
18 59 42
10 84 18
19 78 67
45 56 52
16 19 22
6 1 37
93 82 38
38 30 13
10 94 31
95 12 27
59 80 89
93 33 36
90 60 15
61 63 21
64 52 55
78 79 1
61 35 96
34 57 68
10 96 39
27 4 48
55 69 38
34 25 41
45 50 57
83 4 46
8 58 77
90 24 87
25 97 13
36 20 87
42 96 83
33 12 70
63 46 95
34 25 2
38 82 10
60 41 60
18 58 14
100 22 48
2 43 74
91 86 75
35 46 6
16 37 4
38 95 79
35 82 29
28 44 21
78 13 91
15 80 86
56 90 46
48 94 85
58 38 22
97 56 11
61 63 62
52 93 76
64 77 67
46 77 41
79 70 24
10 96 22
75 97 26
42 52 18
56 28 17
94 24 88
55 42 12
35 95 77
65 9 50
7 27 11
6 87 65
67 80 17
54 75 89
96 64 36
45 27 89
28 70 48
15 49 9
19 6 47
29 77 73
58 37 99
22 35 6
24 59 29
37 81 42
94 21 47
80 35 45
15 71 39
19 43 86
24 22 61
24 60 32
50 72 42
27 39 20
55 76 81
10 83 65
75 22 90
76 38 10
47 20 56
94 9 76
60 75 33
62 35 41
84 44 41
65 19 66
81 52 48
9 10 76
70 53 93
32 32 44
59 55 48
44 82 94
19 41 54
91 35 97
81 82 25
34 10 35
75 56 11
75 38 75
87 91 50
25 63 65
38 97 10
28 79 17
64 79 69
95 96 26
29 18 92
12 49 36
23 78 50
41 44 95
74 7 1
52 9 59
65 80 65
48 51 60
65 67 64
58 8 6
84 63 84
63 50 77
45 55 86
47 28 7
36 50 67
5 14 1
6 23 54
28 36 63
62 75 35
93 40 82
82 45 83
77 33 50
83 40 35
93 97 12
66 71 56
89 88 46
82 46 28
35 83 23
67 3 78
20 17 43
68 11 24
82 49 79
41 63 11
86 5 17
69 19 73
56 84 41
78 1 59
47 9 4
2 40 10
44 84 100
19 25 70
99 68 82
45 47 37
91 38 4
47 27 69
33 79 89
61 65 41
75 4 8
100 13 97
75 39 70
45 71 59
53 31 31
76 8 57
7 40 41
21 24 25
85 98 63
30 15 96
66 87 82
68 52 6
42 12 35
49 6 71
53 67 77
14 7 65
63 34 12
80 40 7
98 73 19
57 84 16
26 34 72
63 86 9
36 8 43
87 30 10
66 96 32
85 40 91
96 18 80
42 80 38
49 9 55
