a,b,c
-264,747,-214
-799,-250,813
-158,-980,-857
-135,-540,-834
725,265,-670
-460,-645,81
-444,-339,590
-953,-635,-432
-688,-627,-402
991,-164,-362
993,-328,-861
-977,981,789
-634,-411,373
158,-133,491
982,247,86
276,-385,-638
536,143,-412
-236,-226,-197
240,443,-731
308,-298,246
-369,658,-388
468,658,736
-739,-921,21
-111,381,699
-455,-850,310
-49,-610,320
813,-928,544
525,-609,-273
119,-863,731
242,687,103
361,757,-550
-976,405,388
-706,-449,413
-48,152,854
-956,996,-598
142,-716,642
777,-482,954
128,-467,-526
-828,223,206
573,918,552
931,177,-23
-55,425,-303
-966,-440,-206
-33,386,129
-911,47,-571
-952,101,-270
-567,-449,361
-849,628,461
-873,-941,285
-880,527,-813
666,658,-28
331,662,-959
-383,830,204
178,929,365
-71,475,-661
-996,814,-942
-482,820,810
398,-298,-716
644,157,-862
824,-367,-865
187,-343,464
737,77,-675
-628,-201,-34
-880,862,395
-472,966,186
875,-418,-678
408,999,-886
980,388,-325
-393,-468,-400
990,-907,-320
-97,-647,214
-16,-772,644
186,59,-145
537,590,-416
268,195,988
-383,411,-203
-455,-206,-861
383,707,-849
285,649,89
-147,-783,720
-684,-349,-782
-373,667,574
560,-777,-441
129,465,-837
107,-862,367
-973,693,-801
632,742,832
-23,393,-767
-145,80,-89
-967,87,791
189,284,-889
92,-706,637
-867,936,-346
679,202,-769
-349,857,150
24,-559,-772
-63,689,85
782,705,-940
-586,-390,-905
-208,-85,-721
-774,210,763
-758,374,237
-915,-531,-589
39,-155,-897
487,862,589
354,372,754
-516,639,675
-871,-980,982
768,499,946
48,-240,148
482,918,151
110,345,-326
-183,-875,-563
-985,-311,503
153,255,512
-907,-595,455
-329,984,350
-632,542,379
191,180,632
72,682,713
-718,-444,-900
151,931,-724
-617,-212,-24
-626,-623,861
648,-528,-473
912,-173,122
-742,441,-604
868,668,441
-48,14,-208
732,-392,-818
577,76,398
-231,968,0
-670,-1,-175
454,-107,402
744,-880,417
462,183,674
-351,87,-852
-229,-739,597
-499,-233,-43
-68,110,-360
-598,392,-566
-903,103,987
120,414,-476
553,903,783
-847,-740,-522
255,-445,42
-795,-707,-406
673,-701,-627
-314,429,878
-521,900,-545
687,771,644
597,-564,-336
652,446,-459
-925,480,-691
438,-969,546
624,618,750
126,-819,-587
-211,703,-216
602,629,-631
342,-282,134
-273,124,-37
-48,801,272
-9,-605,-510
-233,-638,9
888,-54,-631
-559,658,831
-869,-199,-747
-395,-649,484
-795,-2,828
625,70,215
246,-121,713
3,985,-477
-373,-321,305
479,100,392
-534,474,-494
826,440,921
30,996,-981
474,-241,284
-728,-431,-595
-314,-350,641
-914,85,748
186,16,-677
-647,-719,284
70,826,570
-843,9,-278
319,43,993
-390,21,-250
170,-317,-103
-840,386,-418
11,230,34
561,730,447
-841,908,0
-816,180,-821
-200,-299,806
301,738,-239
-397,35,-313
-713,32,-692
502,97,513
931,919,577
-251,277,-823
688,0,297
-947,-961,192
-615,-3,989
-488,-292,409
893,897,669
-526,-468,-786
773,964,-424
86,-235,-312
931,681,151
807,-377,386
-961,602,527
566,-144,-180
779,-740,-619
-212,-810,-850
93,198,745
-971,-3,-250
72,-842,-251
-298,-488,-49
627,124,-588
-584,870,-578
110,283,157
384,77,-16
859,-799,837
437,-638,-895
502,-819,-698
233,824,304
728,-674,-327
-780,-143,-533
-637,665,-733
-566,-747,-924
160,720,-452
-668,-887,-814
959,450,375
-388,-47,435
25,12,-209
133,938,-494
-519,614,69
-608,574,487
668,643,413
357,645,834
494,975,845
764,-595,-893
-847,243,-518
430,-154,682
148,-983,970
380,-824,-139
-316,414,-414
-794,-253,-627
331,-547,881
-658,-285,452
819,-208,-628
414,-990,582
-559,-531,-377
322,-262,-96
-574,-772,440
-659,-888,757
278,87,157
699,12,-92
-580,814,-33
-256,110,639
145,-187,-308
22,-786,-808
605,-413,-362
731,328,-452
-793,-474,302
-848,701,-716
320,568,-247
120,-397,-103
-52,-350,433
-882,950,-478
-623,389,-68
-898,-848,-404
-587,819,927
-721,-425,-279
140,315,170
-337,-665,594
-87,258,254
-153,-87,107
652,815,61
-15,-701,606
526,425,996
269,188,368
653,290,347
394,-74,-962
763,899,951
-489,-975,815
-330,695,699
710,-6,973
207,290,261
770,-70,-967
-796,913,388
790,795,-849
290,-786,887
580,636,100
57,780,-352
-780,-962,202
675,497,326
635,-346,-233
-112,-314,-338
438,378,660
514,732,-735
348,280,-831
984,-309,742
-303,-952,804
682,166,-774
469,33,-5
-893,334,-325
-607,-955,-866
-546,-552,-438
-208,543,507
-372,442,-714
761,-246,112
-805,-806,-785
467,-350,-445
-537,-553,295
-786,20,-403
-685,-75,-626
655,907,169
632,-740,-485
187,-413,330
-226,-733,540
323,-910,462
831,-337,717
68,150,712
750,-935,-941
-678,-889,-529
-434,-815,-656
-999,-609,525
175,-98,-14
26,-537,875
-195,-645,538
-978,456,-297
924,762,937
337,-164,813
-114,946,-644
507,-938,596
83,-205,552
165,5,-338
395,-461,599
986,140,-921
225,-848,781
487,-698,778
529,-157,-627
685,-584,960
665,-926,884
222,681,378
-215,288,-903
165,-581,-496
-885,-495,-652
485,-266,-409
-555,-488,-617
-213,150,705
641,601,546
-327,-952,303
-457,973,-371
-925,-423,416
-276,-537,172
-491,454,-965
599,-185,213
-75,679,325
847,351,137
-698,561,-35
-726,-830,432
-250,591,481
-172,-599,-33
215,-993,-244
642,655,-776
-673,31,7
279,-355,58
-645,-647,427
368,-277,900
689,-380,-358
267,274,550
-322,406,121
118,-203,451
334,372,733
-102,-621,-344
743,-726,-617
362,-733,-768
-17,587,-377
654,-901,-798
574,576,265
-364,-460,-440
44,-731,-43
857,-277,618
-28,104,849
861,371,-517
285,-912,-913
904,-386,795
-262,-498,617
350,153,129
133,-130,934
-792,863,-873
312,931,-342
267,140,495
798,-573,-603
-487,-771,635
-930,253,814
441,490,836
896,-133,193
-954,-663,719
-614,270,240
-22,-500,19
487,64,169
646,-748,948
759,57,-709
-897,-213,-345
875,-191,829
279,635,887
179,619,-603
-268,-781,325
-73,962,310
717,459,671
531,311,-797
-154,851,486
-888,323,-496
22,-93,264
-420,255,-38
795,-567,8
-852,-12,650
-914,-311,-938
-475,359,-588
882,-200,-13
-520,170,-868
-830,-308,400
-566,-830,140
-763,144,-726
237,-454,-335
-162,355,600
-539,-475,-949
-4,-499,333
-413,-363,958
965,863,193
665,944,451
-839,-15,842
-616,-223,978
-456,406,-909
787,-544,-749
268,135,-898
290,-546,-85
-837,674,-146
261,753,-663
-974,150,-188
-979,-310,-164
877,357,325
506,-857,-958
233,351,646
525,-23,-956
331,912,-762
-110,-359,925
553,173,331
-924,-448,21
589,-813,843
502,-86,-159
182,699,-868
-62,949,-306
928,500,957
-734,-639,490
529,771,890
627,-485,514
66,738,25
465,-980,887
-778,776,806
243,-491,-3
902,-502,370
-806,781,-963
-801,632,-708
-794,951,-425
917,581,204
-941,435,-499
-475,-248,-927
-955,-896,-479
674,-790,504
450,125,25
-195,-679,345
331,304,-812
-81,-737,-546
-95,333,-453
-133,687,-495
-287,858,407
-487,-546,-544
-645,18,716
25,465,702
888,699,492
693,-738,699
733,820,-61
-937,581,-846
-310,46,-296
-509,17,985
322,-202,-75
169,858,-399
-823,823,-639
-512,911,-518
-39,-743,611
-479,-94,0
390,957,-508
69,917,-593
522,-594,-225
-669,518,-987
-172,366,-479
